,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
266,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,38041757.0,Asia
267,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
268,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia
269,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
270,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
271,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia
272,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,38041757.0,Asia
273,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,38041757.0,Asia
274,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
275,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
276,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia
277,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
278,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
279,29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
280,28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
281,27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
282,26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
283,25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia
284,24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
285,23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
286,22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
287,21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
288,20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
289,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
290,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia
